Year,,Large-Cap Value
2018,-0.70%,Large-Cap Value
2017,19.93%,Large-Cap Value
2016,12.79%,Large-Cap Value
2015,0.07%,Large-Cap Value
2014,8.81%,Large-Cap Value
2013,30.59%,Large-Cap Value
2012,10.86%,Large-Cap Value
2011,1.73%,Large-Cap Value
2010,8.02%,Large-Cap Value
2009,24.82%,Large-Cap Value
2008,-19.92%,Large-Cap Value
2007,2.24%,Large-Cap Value
2006,11.96%,Large-Cap Value
2005,-2.16%,Large-Cap Value
2004,8.19%,Large-Cap Value
2003,15.29%,Large-Cap Value
2002,-9.13%,Large-Cap Value
2001,1.17%,Large-Cap Value
2000,10.79%,Large-Cap Value
1999,3.18%,Large-Cap Value
1998,15.16%,Large-Cap Value
1997,25.44%,Large-Cap Value
1996,16.51%,Large-Cap Value
1995,21.50%,Large-Cap Value
1994,1.12%,Large-Cap Value
1993,4.26%,Large-Cap Value
1992,8.38%,Large-Cap Value
1991,25.09%,Large-Cap Value
1990,-7.26%,Large-Cap Value
1989,12.07%,Large-Cap Value
1988,7.96%,Large-Cap Value
1987,3.43%,Large-Cap Value
