Year,,Large-Cap Value
2018,-8.41%,Large-Cap Value
2017,13.36%,Large-Cap Value
2016,17.38%,Large-Cap Value
2015,-3.52%,Large-Cap Value
2014,8.68%,Large-Cap Value
2013,27.68%,Large-Cap Value
2012,17.23%,Large-Cap Value
2011,-4.68%,Large-Cap Value
2010,15.13%,Large-Cap Value
2009,29.54%,Large-Cap Value
2008,-41.64%,Large-Cap Value
2007,1.40%,Large-Cap Value
2006,19.81%,Large-Cap Value
2005,5.74%,Large-Cap Value
2004,11.29%,Large-Cap Value
2003,29.96%,Large-Cap Value
2002,-17.16%,Large-Cap Value
2001,-5.02%,Large-Cap Value
2000,8.54%,Large-Cap Value
1999,7.15%,Large-Cap Value
1998,12.52%,Large-Cap Value
1997,29.98%,Large-Cap Value
1996,21.02%,Large-Cap Value
1995,31.81%,Large-Cap Value
1994,0.24%,Large-Cap Value
1993,21.31%,Large-Cap Value
1992,14.68%,Large-Cap Value
1991,29.40%,Large-Cap Value
1990,-14.02%,Large-Cap Value
1989,18.67%,Large-Cap Value
1988,22.49%,Large-Cap Value
1987,-1.64%,Large-Cap Value
1986,17.07%,Large-Cap Value
1985,25.06%,Large-Cap Value
1984,10.53%,Large-Cap Value
1983,29.24%,Large-Cap Value
1982,34.57%,Large-Cap Value
1981,9.43%,Large-Cap Value
1980,32.30%,Large-Cap Value
1979,30.66%,Large-Cap Value
1978,11.33%,Large-Cap Value
1977,5.04%,Large-Cap Value
1976,45.07%,Large-Cap Value
1975,44.42%,Large-Cap Value
1974,-19.86%,Large-Cap Value
1973,-11.07%,Large-Cap Value
1972,4.17%,Large-Cap Value
1971,13.35%,Large-Cap Value
1970,-3.61%,Large-Cap Value
1969,-26.51%,Large-Cap Value
1968,30.82%,Large-Cap Value
1967,78.37%,Large-Cap Value
1966,N/A,Large-Cap Value
