Year,,Large-Cap Blend
2018,-12.46%,Large-Cap Blend
2017,24.32%,Large-Cap Blend
2016,20.03%,Large-Cap Blend
2015,-8.61%,Large-Cap Blend
2014,28.08%,Large-Cap Blend
2013,50.65%,Large-Cap Blend
2012,19.16%,Large-Cap Blend
2011,-6.07%,Large-Cap Blend
2010,33.37%,Large-Cap Blend
2009,22.26%,Large-Cap Blend
2008,-32.57%,Large-Cap Blend
2007,-1.92%,Large-Cap Blend
2006,22.44%,Large-Cap Blend
2005,21.92%,Large-Cap Blend
2004,14.06%,Large-Cap Blend
2003,35.96%,Large-Cap Blend
2002,-26.19%,Large-Cap Blend
2001,-15.09%,Large-Cap Blend
2000,39.71%,Large-Cap Blend
1999,34.49%,Large-Cap Blend
1998,6.42%,Large-Cap Blend
1997,31.14%,Large-Cap Blend
1996,1.25%,Large-Cap Blend
1995,59.54%,Large-Cap Blend
1994,-21.74%,Large-Cap Blend
1993,30.89%,Large-Cap Blend
1992,6.57%,Large-Cap Blend
1991,37.06%,Large-Cap Blend
1990,-18.18%,Large-Cap Blend
1989,26.33%,Large-Cap Blend
1988,29.07%,Large-Cap Blend
1987,-19.99%,Large-Cap Blend
1986,12.84%,Large-Cap Blend
