Year,,Large-Cap Blend
2018,-4.93%,Large-Cap Blend
2017,23.37%,Large-Cap Blend
2016,10.08%,Large-Cap Blend
2015,2.12%,Large-Cap Blend
2014,13.91%,Large-Cap Blend
2013,35.11%,Large-Cap Blend
2012,17.57%,Large-Cap Blend
2011,-1.93%,Large-Cap Blend
2010,14.12%,Large-Cap Blend
2009,30.62%,Large-Cap Blend
2008,-36.11%,Large-Cap Blend
2007,3.86%,Large-Cap Blend
2006,15.90%,Large-Cap Blend
2005,3.49%,Large-Cap Blend
2004,11.29%,Large-Cap Blend
2003,29.91%,Large-Cap Blend
2002,-24.17%,Large-Cap Blend
2001,-10.48%,Large-Cap Blend
2000,-9.06%,Large-Cap Blend
1999,17.39%,Large-Cap Blend
1998,31.82%,Large-Cap Blend
1997,N/A,Large-Cap Blend
