Year,,Large-Cap Blend
2018,-4.95%,Large-Cap Blend
2017,22.43%,Large-Cap Blend
2016,12.06%,Large-Cap Blend
2015,1.71%,Large-Cap Blend
2014,12.56%,Large-Cap Blend
2013,33.73%,Large-Cap Blend
2012,16.41%,Large-Cap Blend
2011,1.39%,Large-Cap Blend
2010,16.08%,Large-Cap Blend
2009,29.21%,Large-Cap Blend
2008,-37.57%,Large-Cap Blend
2007,6.13%,Large-Cap Blend
2006,14.50%,Large-Cap Blend
2005,7.61%,Large-Cap Blend
2004,11.78%,Large-Cap Blend
2003,31.87%,Large-Cap Blend
2002,-23.37%,Large-Cap Blend
2001,-15.26%,Large-Cap Blend
2000,-10.07%,Large-Cap Blend
1999,N/A,Large-Cap Blend
