Year,,Large-Cap Value
2018,-4.20%,Large-Cap Value
2017,13.68%,Large-Cap Value
2016,19.72%,Large-Cap Value
2015,0.79%,Large-Cap Value
2014,12.55%,Large-Cap Value
2013,19.83%,Large-Cap Value
2012,11.57%,Large-Cap Value
2011,3.93%,Large-Cap Value
2010,13.51%,Large-Cap Value
2009,12.45%,Large-Cap Value
2008,-19.89%,Large-Cap Value
2007,1.88%,Large-Cap Value
2006,19.82%,Large-Cap Value
2005,2.66%,Large-Cap Value
2004,12.61%,Large-Cap Value
2003,24.65%,Large-Cap Value
2002,-4.79%,Large-Cap Value
2001,11.55%,Large-Cap Value
2000,22.14%,Large-Cap Value
1999,0.01%,Large-Cap Value
1998,N/A,Large-Cap Value
