Year,,Large-Cap Blend
2018,-6.59%,Large-Cap Blend
2017,19.60%,Large-Cap Blend
2016,14.49%,Large-Cap Blend
2015,-1.53%,Large-Cap Blend
2014,12.02%,Large-Cap Blend
2013,32.32%,Large-Cap Blend
2012,15.58%,Large-Cap Blend
2011,-1.83%,Large-Cap Blend
2010,10.79%,Large-Cap Blend
2009,27.21%,Large-Cap Blend
2008,-34.77%,Large-Cap Blend
2007,5.87%,Large-Cap Blend
2006,15.96%,Large-Cap Blend
2005,6.77%,Large-Cap Blend
2004,9.69%,Large-Cap Blend
2003,26.18%,Large-Cap Blend
2002,-14.58%,Large-Cap Blend
2001,N/A,Large-Cap Blend
