Year,,Large-Cap Value
2018,-7.93%,Large-Cap Value
2017,11.12%,Large-Cap Value
2016,15.31%,Large-Cap Value
2015,-3.85%,Large-Cap Value
2014,12.87%,Large-Cap Value
2013,31.44%,Large-Cap Value
2012,16.41%,Large-Cap Value
2011,1.48%,Large-Cap Value
2010,10.93%,Large-Cap Value
2009,20.69%,Large-Cap Value
2008,-37.38%,Large-Cap Value
2007,-0.95%,Large-Cap Value
2006,19.81%,Large-Cap Value
2005,4.17%,Large-Cap Value
2004,14.28%,Large-Cap Value
2003,28.97%,Large-Cap Value
2002,-13.47%,Large-Cap Value
2001,7.47%,Large-Cap Value
2000,9.68%,Large-Cap Value
1999,N/A,Large-Cap Value
