Year,,Large-Cap Value
2018,-2.82%,Large-Cap Value
2017,16.73%,Large-Cap Value
2016,13.28%,Large-Cap Value
2015,-3.60%,Large-Cap Value
2014,11.71%,Large-Cap Value
2013,26.88%,Large-Cap Value
2012,11.42%,Large-Cap Value
2011,3.94%,Large-Cap Value
2010,11.31%,Large-Cap Value
2009,24.41%,Large-Cap Value
2008,-30.63%,Large-Cap Value
2007,2.48%,Large-Cap Value
2006,15.29%,Large-Cap Value
2005,4.05%,Large-Cap Value
2004,9.76%,Large-Cap Value
2003,22.26%,Large-Cap Value
2002,-12.92%,Large-Cap Value
2001,N/A,Large-Cap Value
