Year,,Large-Cap Value
2018,-6.69%,Large-Cap Value
2017,20.87%,Large-Cap Value
2016,13.81%,Large-Cap Value
2015,-5.48%,Large-Cap Value
2014,12.73%,Large-Cap Value
2013,36.01%,Large-Cap Value
2012,14.78%,Large-Cap Value
2011,3.22%,Large-Cap Value
2010,14.27%,Large-Cap Value
2009,18.20%,Large-Cap Value
2008,-34.56%,Large-Cap Value
2007,-0.07%,Large-Cap Value
2006,17.40%,Large-Cap Value
2005,5.00%,Large-Cap Value
2004,13.20%,Large-Cap Value
2003,29.81%,Large-Cap Value
2002,-19.18%,Large-Cap Value
2001,-8.15%,Large-Cap Value
2000,-10.35%,Large-Cap Value
1999,18.27%,Large-Cap Value
1998,N/A,Large-Cap Value
