Year,,Large-Cap Growth
2018,11.59%,Large-Cap Growth
2017,46.98%,Large-Cap Growth
2016,-4.42%,Large-Cap Growth
2015,7.38%,Large-Cap Growth
2014,4.38%,Large-Cap Growth
2013,48.84%,Large-Cap Growth
2012,11.39%,Large-Cap Growth
2011,-8.50%,Large-Cap Growth
2010,25.94%,Large-Cap Growth
2009,68.77%,Large-Cap Growth
2008,-49.07%,Large-Cap Growth
2007,17.96%,Large-Cap Growth
2006,6.49%,Large-Cap Growth
2005,21.17%,Large-Cap Growth
2004,21.44%,Large-Cap Growth
2003,39.98%,Large-Cap Growth
2002,-46.45%,Large-Cap Growth
2001,-39.36%,Large-Cap Growth
2000,-35.88%,Large-Cap Growth
1999,123.93%,Large-Cap Growth
1998,62.53%,Large-Cap Growth
1997,N/A,Large-Cap Growth
