Year,,Large-Cap Growth
2018,12.47%,Large-Cap Growth
2017,48.24%,Large-Cap Growth
2016,-3.60%,Large-Cap Growth
2015,8.31%,Large-Cap Growth
2014,5.25%,Large-Cap Growth
2013,50.03%,Large-Cap Growth
2012,12.53%,Large-Cap Growth
2011,-7.57%,Large-Cap Growth
2010,27.20%,Large-Cap Growth
2009,70.38%,Large-Cap Growth
2008,-48.52%,Large-Cap Growth
2007,19.08%,Large-Cap Growth
2006,7.56%,Large-Cap Growth
2005,22.35%,Large-Cap Growth
2004,22.70%,Large-Cap Growth
2003,41.31%,Large-Cap Growth
2002,-46.00%,Large-Cap Growth
2001,-38.75%,Large-Cap Growth
2000,-35.23%,Large-Cap Growth
1999,125.75%,Large-Cap Growth
1998,64.16%,Large-Cap Growth
1997,N/A,Large-Cap Growth
