Year,,Large-Cap Blend
2018,-5.42%,Large-Cap Blend
2017,19.06%,Large-Cap Blend
2016,11.98%,Large-Cap Blend
2015,2.62%,Large-Cap Blend
2014,8.37%,Large-Cap Blend
2013,29.59%,Large-Cap Blend
2012,17.02%,Large-Cap Blend
2011,-6.30%,Large-Cap Blend
2010,17.05%,Large-Cap Blend
2009,26.30%,Large-Cap Blend
2008,-37.82%,Large-Cap Blend
2007,8.91%,Large-Cap Blend
2006,15.73%,Large-Cap Blend
2005,6.25%,Large-Cap Blend
2004,7.74%,Large-Cap Blend
2003,23.23%,Large-Cap Blend
2002,-22.93%,Large-Cap Blend
2001,-13.31%,Large-Cap Blend
2000,-9.23%,Large-Cap Blend
1999,18.21%,Large-Cap Blend
1998,26.62%,Large-Cap Blend
1997,31.94%,Large-Cap Blend
1996,24.88%,Large-Cap Blend
1995,36.86%,Large-Cap Blend
1994,-1.04%,Large-Cap Blend
1993,11.83%,Large-Cap Blend
1992,7.58%,Large-Cap Blend
1991,33.64%,Large-Cap Blend
1990,0.23%,Large-Cap Blend
1989,34.33%,Large-Cap Blend
1988,10.72%,Large-Cap Blend
