Year,,Large-Cap Value
2018,-7.07%,Large-Cap Value
2017,18.33%,Large-Cap Value
2016,21.28%,Large-Cap Value
2015,-4.49%,Large-Cap Value
2014,10.40%,Large-Cap Value
2013,40.55%,Large-Cap Value
2012,22.01%,Large-Cap Value
2011,-4.08%,Large-Cap Value
2010,13.49%,Large-Cap Value
2009,31.27%,Large-Cap Value
2008,-43.31%,Large-Cap Value
2007,0.14%,Large-Cap Value
2006,18.53%,Large-Cap Value
2005,9.37%,Large-Cap Value
2004,19.17%,Large-Cap Value
2003,32.34%,Large-Cap Value
2002,-10.54%,Large-Cap Value
2001,9.33%,Large-Cap Value
2000,16.31%,Large-Cap Value
1999,20.21%,Large-Cap Value
1998,5.40%,Large-Cap Value
1997,28.40%,Large-Cap Value
1996,22.27%,Large-Cap Value
1995,33.52%,Large-Cap Value
1994,5.17%,Large-Cap Value
1993,18.33%,Large-Cap Value
1992,10.82%,Large-Cap Value
1991,21.47%,Large-Cap Value
1990,-5.09%,Large-Cap Value
1989,26.94%,Large-Cap Value
1988,13.76%,Large-Cap Value
1987,11.95%,Large-Cap Value
1986,18.31%,Large-Cap Value
1985,37.86%,Large-Cap Value
1984,5.18%,Large-Cap Value
1983,26.54%,Large-Cap Value
1982,22.07%,Large-Cap Value
1981,-2.57%,Large-Cap Value
1980,33.19%,Large-Cap Value
1979,20.81%,Large-Cap Value
1978,9.42%,Large-Cap Value
1977,-6.10%,Large-Cap Value
1976,22.21%,Large-Cap Value
1975,38.91%,Large-Cap Value
1974,-24.57%,Large-Cap Value
1973,-12.50%,Large-Cap Value
1972,12.52%,Large-Cap Value
1971,15.59%,Large-Cap Value
1970,-4.38%,Large-Cap Value
1969,-13.80%,Large-Cap Value
1968,24.31%,Large-Cap Value
1967,28.17%,Large-Cap Value
1966,-12.07%,Large-Cap Value
1965,N/A,Large-Cap Value
