Year,,Large-Cap Blend
2018,-7.23%,Large-Cap Blend
2017,20.14%,Large-Cap Blend
2016,8.05%,Large-Cap Blend
2015,-0.63%,Large-Cap Blend
2014,11.87%,Large-Cap Blend
2013,31.61%,Large-Cap Blend
2012,18.70%,Large-Cap Blend
2011,-8.51%,Large-Cap Blend
2010,21.19%,Large-Cap Blend
2009,51.00%,Large-Cap Blend
2008,-42.96%,Large-Cap Blend
2007,1.11%,Large-Cap Blend
2006,14.67%,Large-Cap Blend
2005,3.50%,Large-Cap Blend
2004,5.84%,Large-Cap Blend
2003,23.36%,Large-Cap Blend
2002,-20.44%,Large-Cap Blend
2001,-3.74%,Large-Cap Blend
2000,12.25%,Large-Cap Blend
1999,8.81%,Large-Cap Blend
1998,35.85%,Large-Cap Blend
1997,27.90%,Large-Cap Blend
1996,30.14%,Large-Cap Blend
1995,37.53%,Large-Cap Blend
1994,4.27%,Large-Cap Blend
1993,N/A,Large-Cap Blend
