Year,,Large-Cap Growth
2018,-4.53%,Large-Cap Growth
2017,36.76%,Large-Cap Growth
2016,6.01%,Large-Cap Growth
2015,7.83%,Large-Cap Growth
2014,14.44%,Large-Cap Growth
2013,37.61%,Large-Cap Growth
2012,18.52%,Large-Cap Growth
2011,0.67%,Large-Cap Growth
2010,20.55%,Large-Cap Growth
2009,41.15%,Large-Cap Growth
2008,-40.90%,Large-Cap Growth
2007,19.89%,Large-Cap Growth
2006,9.56%,Large-Cap Growth
2005,13.50%,Large-Cap Growth
2004,12.12%,Large-Cap Growth
2003,41.36%,Large-Cap Growth
2002,-33.45%,Large-Cap Growth
2001,-25.31%,Large-Cap Growth
2000,-6.32%,Large-Cap Growth
1999,79.48%,Large-Cap Growth
1998,27.23%,Large-Cap Growth
1997,18.91%,Large-Cap Growth
1996,16.81%,Large-Cap Growth
1995,39.61%,Large-Cap Growth
1994,-2.22%,Large-Cap Growth
1993,16.19%,Large-Cap Growth
1992,7.94%,Large-Cap Growth
1991,48.33%,Large-Cap Growth
1990,3.59%,Large-Cap Growth
1989,41.64%,Large-Cap Growth
1988,16.05%,Large-Cap Growth
1987,-1.70%,Large-Cap Growth
1986,13.03%,Large-Cap Growth
1985,39.91%,Large-Cap Growth
1984,-5.50%,Large-Cap Growth
1983,N/A,Large-Cap Growth
