Year,,Large-Cap Value
2018,-11.29%,Large-Cap Value
2017,20.24%,Large-Cap Value
2016,15.38%,Large-Cap Value
2015,-0.96%,Large-Cap Value
2014,9.06%,Large-Cap Value
2013,39.91%,Large-Cap Value
2012,12.80%,Large-Cap Value
2011,12.09%,Large-Cap Value
2010,13.33%,Large-Cap Value
2009,47.83%,Large-Cap Value
2008,-34.17%,Large-Cap Value
2007,5.86%,Large-Cap Value
2006,13.79%,Large-Cap Value
2005,2.17%,Large-Cap Value
2004,9.30%,Large-Cap Value
2003,19.57%,Large-Cap Value
2002,-7.05%,Large-Cap Value
2001,7.66%,Large-Cap Value
2000,2.03%,Large-Cap Value
1999,-7.43%,Large-Cap Value
1998,N/A,Large-Cap Value
