Year,,Large-Cap Blend
2018,-5.30%,Large-Cap Blend
2017,20.29%,Large-Cap Blend
2016,14.41%,Large-Cap Blend
2015,-3.54%,Large-Cap Blend
2014,9.72%,Large-Cap Blend
2013,29.30%,Large-Cap Blend
2012,10.29%,Large-Cap Blend
2011,7.21%,Large-Cap Blend
2010,19.08%,Large-Cap Blend
2009,17.05%,Large-Cap Blend
2008,-27.22%,Large-Cap Blend
2007,-2.95%,Large-Cap Blend
2006,17.36%,Large-Cap Blend
2005,2.32%,Large-Cap Blend
2004,10.28%,Large-Cap Blend
2003,23.70%,Large-Cap Blend
2002,-1.76%,Large-Cap Blend
2001,13.11%,Large-Cap Blend
2000,18.98%,Large-Cap Blend
1999,-10.28%,Large-Cap Blend
1998,6.03%,Large-Cap Blend
1997,32.35%,Large-Cap Blend
1996,23.42%,Large-Cap Blend
1995,30.25%,Large-Cap Blend
1994,-5.17%,Large-Cap Blend
1993,-3.49%,Large-Cap Blend
1992,10.38%,Large-Cap Blend
1991,35.95%,Large-Cap Blend
1990,0.26%,Large-Cap Blend
1989,19.60%,Large-Cap Blend
1988,18.94%,Large-Cap Blend
1987,N/A,Large-Cap Blend
