Year,,Large-Cap Value
2018,-5.36%,Large-Cap Value
2017,15.07%,Large-Cap Value
2016,10.92%,Large-Cap Value
2015,-1.61%,Large-Cap Value
2014,8.26%,Large-Cap Value
2013,28.40%,Large-Cap Value
2012,10.97%,Large-Cap Value
2011,0.70%,Large-Cap Value
2010,14.99%,Large-Cap Value
2009,25.49%,Large-Cap Value
2008,-35.84%,Large-Cap Value
2007,-4.29%,Large-Cap Value
2006,15.52%,Large-Cap Value
2005,2.45%,Large-Cap Value
2004,9.64%,Large-Cap Value
2003,23.95%,Large-Cap Value
2002,-15.72%,Large-Cap Value
2001,-2.09%,Large-Cap Value
2000,17.75%,Large-Cap Value
1999,0.05%,Large-Cap Value
1998,5.87%,Large-Cap Value
1997,26.21%,Large-Cap Value
1996,12.01%,Large-Cap Value
