Year,,Large-Cap Growth
2018,6.68%,Large-Cap Growth
2017,43.89%,Large-Cap Growth
2016,-3.08%,Large-Cap Growth
2015,11.56%,Large-Cap Growth
2014,5.70%,Large-Cap Growth
2013,48.22%,Large-Cap Growth
2012,14.67%,Large-Cap Growth
2011,-5.71%,Large-Cap Growth
2010,27.62%,Large-Cap Growth
2009,32.12%,Large-Cap Growth
2008,-37.90%,Large-Cap Growth
2007,0.07%,Large-Cap Growth
2006,17.46%,Large-Cap Growth
2005,5.14%,Large-Cap Growth
2004,7.93%,Large-Cap Growth
2003,37.56%,Large-Cap Growth
2002,-26.86%,Large-Cap Growth
2001,1.57%,Large-Cap Growth
2000,16.88%,Large-Cap Growth
1999,N/A,Large-Cap Growth
