Year,,Large-Cap Blend
2018,-2.07%,Large-Cap Blend
2017,24.78%,Large-Cap Blend
2016,12.83%,Large-Cap Blend
2015,1.38%,Large-Cap Blend
2014,11.10%,Large-Cap Blend
2013,32.25%,Large-Cap Blend
2012,16.65%,Large-Cap Blend
2011,-1.58%,Large-Cap Blend
2010,8.63%,Large-Cap Blend
2009,38.64%,Large-Cap Blend
2008,-42.48%,Large-Cap Blend
2007,8.69%,Large-Cap Blend
2006,7.82%,Large-Cap Blend
2005,12.48%,Large-Cap Blend
2004,11.89%,Large-Cap Blend
2003,24.65%,Large-Cap Blend
2002,-21.51%,Large-Cap Blend
2001,-14.36%,Large-Cap Blend
2000,-11.41%,Large-Cap Blend
1999,51.18%,Large-Cap Blend
1998,34.87%,Large-Cap Blend
1997,34.66%,Large-Cap Blend
1996,26.03%,Large-Cap Blend
1995,36.35%,Large-Cap Blend
1994,-4.87%,Large-Cap Blend
1993,6.70%,Large-Cap Blend
1992,5.35%,Large-Cap Blend
1991,N/A,Large-Cap Blend
