Year,,Large-Cap Blend
2018,-5.57%,Large-Cap Blend
2017,21.49%,Large-Cap Blend
2016,9.57%,Large-Cap Blend
2015,-2.38%,Large-Cap Blend
2014,15.51%,Large-Cap Blend
2013,33.98%,Large-Cap Blend
2012,16.96%,Large-Cap Blend
2011,1.01%,Large-Cap Blend
2010,15.25%,Large-Cap Blend
2009,31.28%,Large-Cap Blend
2008,-36.80%,Large-Cap Blend
2007,4.99%,Large-Cap Blend
2006,15.45%,Large-Cap Blend
2005,3.61%,Large-Cap Blend
2004,11.03%,Large-Cap Blend
2003,29.45%,Large-Cap Blend
2002,-24.97%,Large-Cap Blend
2001,N/A,Large-Cap Blend
