Year,,Large-Cap Growth
2018,7.39%,Large-Cap Growth
2017,43.45%,Large-Cap Growth
2016,-2.21%,Large-Cap Growth
2015,11.53%,Large-Cap Growth
2014,6.25%,Large-Cap Growth
2013,48.22%,Large-Cap Growth
2012,15.36%,Large-Cap Growth
2011,-3.27%,Large-Cap Growth
2010,22.79%,Large-Cap Growth
2009,62.66%,Large-Cap Growth
2008,-50.57%,Large-Cap Growth
2007,21.93%,Large-Cap Growth
2006,3.85%,Large-Cap Growth
2005,15.41%,Large-Cap Growth
2004,7.45%,Large-Cap Growth
2003,26.13%,Large-Cap Growth
2002,-27.75%,Large-Cap Growth
2001,-15.26%,Large-Cap Growth
2000,-11.59%,Large-Cap Growth
1999,39.37%,Large-Cap Growth
1998,18.78%,Large-Cap Growth
1997,27.88%,Large-Cap Growth
1996,N/A,Large-Cap Growth
