Year,,Large-Cap Value
2018,-10.18%,Large-Cap Value
2017,16.62%,Large-Cap Value
2016,11.13%,Large-Cap Value
2015,-8.52%,Large-Cap Value
2014,9.77%,Large-Cap Value
2013,32.91%,Large-Cap Value
2012,14.60%,Large-Cap Value
2011,-5.75%,Large-Cap Value
2010,13.33%,Large-Cap Value
2009,41.44%,Large-Cap Value
2008,-42.56%,Large-Cap Value
2007,2.72%,Large-Cap Value
2006,19.54%,Large-Cap Value
2005,16.46%,Large-Cap Value
2004,16.02%,Large-Cap Value
2003,27.98%,Large-Cap Value
2002,-21.65%,Large-Cap Value
2001,-2.64%,Large-Cap Value
2000,15.38%,Large-Cap Value
1999,11.91%,Large-Cap Value
1998,-2.64%,Large-Cap Value
1997,36.80%,Large-Cap Value
1996,N/A,Large-Cap Value
