Year,,Large-Cap Blend
2018,-6.17%,Large-Cap Blend
2017,15.16%,Large-Cap Blend
2016,19.25%,Large-Cap Blend
2015,4.54%,Large-Cap Blend
2014,9.04%,Large-Cap Blend
2013,36.49%,Large-Cap Blend
2012,18.14%,Large-Cap Blend
2011,0.45%,Large-Cap Blend
2010,15.20%,Large-Cap Blend
2009,79.38%,Large-Cap Blend
2008,-44.47%,Large-Cap Blend
2007,15.02%,Large-Cap Blend
2006,-4.25%,Large-Cap Blend
2005,7.04%,Large-Cap Blend
2004,8.06%,Large-Cap Blend
2003,65.85%,Large-Cap Blend
2002,-50.23%,Large-Cap Blend
2001,-48.60%,Large-Cap Blend
2000,-13.11%,Large-Cap Blend
1999,98.40%,Large-Cap Blend
1998,49.20%,Large-Cap Blend
1997,1.30%,Large-Cap Blend
1996,10.78%,Large-Cap Blend
1995,37.22%,Large-Cap Blend
1994,0.00%,Large-Cap Blend
1993,1.76%,Large-Cap Blend
1992,N/A,Large-Cap Blend
