Year,,Large-Cap Blend
2018,-1.06%,Large-Cap Blend
2017,19.32%,Large-Cap Blend
2016,11.62%,Large-Cap Blend
2015,2.36%,Large-Cap Blend
2014,12.34%,Large-Cap Blend
2013,30.35%,Large-Cap Blend
2012,14.85%,Large-Cap Blend
2011,3.53%,Large-Cap Blend
2010,13.26%,Large-Cap Blend
2009,26.15%,Large-Cap Blend
2008,-33.26%,Large-Cap Blend
2007,7.07%,Large-Cap Blend
2006,16.45%,Large-Cap Blend
2005,3.35%,Large-Cap Blend
2004,11.90%,Large-Cap Blend
2003,25.17%,Large-Cap Blend
2002,-18.47%,Large-Cap Blend
2001,-3.64%,Large-Cap Blend
2000,10.06%,Large-Cap Blend
1999,-2.82%,Large-Cap Blend
1998,15.04%,Large-Cap Blend
1997,30.77%,Large-Cap Blend
1996,25.36%,Large-Cap Blend
1995,31.75%,Large-Cap Blend
1994,2.16%,Large-Cap Blend
1993,19.41%,Large-Cap Blend
