Year,,Large-Cap Blend
2018,-5.51%,Large-Cap Blend
2017,22.31%,Large-Cap Blend
2016,9.38%,Large-Cap Blend
2015,-2.41%,Large-Cap Blend
2014,13.75%,Large-Cap Blend
2013,31.90%,Large-Cap Blend
2012,16.70%,Large-Cap Blend
2011,-2.25%,Large-Cap Blend
2010,15.38%,Large-Cap Blend
2009,33.25%,Large-Cap Blend
2008,-38.81%,Large-Cap Blend
2007,-0.39%,Large-Cap Blend
2006,10.54%,Large-Cap Blend
2005,4.16%,Large-Cap Blend
2004,6.70%,Large-Cap Blend
2003,24.30%,Large-Cap Blend
2002,-22.79%,Large-Cap Blend
2001,-19.48%,Large-Cap Blend
2000,-2.83%,Large-Cap Blend
1999,26.55%,Large-Cap Blend
1998,N/A,Large-Cap Blend
