Year,,Large-Cap Growth
2018,1.28%,Large-Cap Growth
2017,34.57%,Large-Cap Growth
2016,1.40%,Large-Cap Growth
2015,8.80%,Large-Cap Growth
2014,9.44%,Large-Cap Growth
2013,37.73%,Large-Cap Growth
2012,13.56%,Large-Cap Growth
2011,-0.41%,Large-Cap Growth
2010,19.34%,Large-Cap Growth
2009,49.33%,Large-Cap Growth
2008,-38.31%,Large-Cap Growth
2007,13.74%,Large-Cap Growth
2006,7.24%,Large-Cap Growth
2005,4.35%,Large-Cap Growth
2004,11.10%,Large-Cap Growth
2003,35.22%,Large-Cap Growth
2002,-28.54%,Large-Cap Growth
2001,-11.89%,Large-Cap Growth
2000,-10.53%,Large-Cap Growth
1999,12.76%,Large-Cap Growth
1998,17.89%,Large-Cap Growth
1997,21.10%,Large-Cap Growth
1996,20.01%,Large-Cap Growth
1995,44.31%,Large-Cap Growth
1994,-7.43%,Large-Cap Growth
1993,17.44%,Large-Cap Growth
1992,9.89%,Large-Cap Growth
1991,61.95%,Large-Cap Growth
1990,-12.24%,Large-Cap Growth
1989,38.41%,Large-Cap Growth
1988,18.47%,Large-Cap Growth
1987,-9.40%,Large-Cap Growth
1986,14.37%,Large-Cap Growth
1985,N/A,Large-Cap Growth
