Year,,Large-Cap Value
2018,-10.82%,Large-Cap Value
2017,15.64%,Large-Cap Value
2016,12.33%,Large-Cap Value
2015,-4.52%,Large-Cap Value
2014,11.99%,Large-Cap Value
2013,33.58%,Large-Cap Value
2012,14.33%,Large-Cap Value
2011,-2.58%,Large-Cap Value
2010,12.01%,Large-Cap Value
2009,47.63%,Large-Cap Value
2008,-49.81%,Large-Cap Value
2007,7.17%,Large-Cap Value
2006,24.11%,Large-Cap Value
2005,3.36%,Large-Cap Value
2004,14.98%,Large-Cap Value
2003,35.40%,Large-Cap Value
2002,-23.35%,Large-Cap Value
2001,10.00%,Large-Cap Value
2000,31.19%,Large-Cap Value
