Year,,Large-Cap Blend
2018,-5.30%,Large-Cap Blend
2017,21.06%,Large-Cap Blend
2016,12.58%,Large-Cap Blend
2015,0.41%,Large-Cap Blend
2014,12.39%,Large-Cap Blend
2013,33.36%,Large-Cap Blend
2012,16.30%,Large-Cap Blend
2011,1.32%,Large-Cap Blend
2010,17.23%,Large-Cap Blend
2009,28.29%,Large-Cap Blend
2008,-36.58%,Large-Cap Blend
2007,5.41%,Large-Cap Blend
2006,15.53%,Large-Cap Blend
2005,6.22%,Large-Cap Blend
2004,12.48%,Large-Cap Blend
2003,30.97%,Large-Cap Blend
2002,-20.42%,Large-Cap Blend
2001,-11.09%,Large-Cap Blend
2000,-10.49%,Large-Cap Blend
1999,N/A,Large-Cap Blend
