Year,,Large-Cap Growth
2018,2.01%,Large-Cap Growth
2017,36.55%,Large-Cap Growth
2016,0.98%,Large-Cap Growth
2015,11.15%,Large-Cap Growth
2014,9.28%,Large-Cap Growth
2013,41.57%,Large-Cap Growth
2012,18.41%,Large-Cap Growth
2011,1.50%,Large-Cap Growth
2010,16.42%,Large-Cap Growth
2009,42.57%,Large-Cap Growth
2008,-42.62%,Large-Cap Growth
2007,13.02%,Large-Cap Growth
2006,9.73%,Large-Cap Growth
2005,5.95%,Large-Cap Growth
2004,9.25%,Large-Cap Growth
2003,29.75%,Large-Cap Growth
2002,-24.23%,Large-Cap Growth
2001,-14.42%,Large-Cap Growth
2000,-2.53%,Large-Cap Growth
1999,20.00%,Large-Cap Growth
1998,28.84%,Large-Cap Growth
1997,27.56%,Large-Cap Growth
1996,27.75%,Large-Cap Growth
1995,37.90%,Large-Cap Growth
1994,0.80%,Large-Cap Growth
1993,N/A,Large-Cap Growth
