Year,,Large-Cap Value
2018,-4.39%,Large-Cap Value
2017,13.33%,Large-Cap Value
2016,19.49%,Large-Cap Value
2015,0.60%,Large-Cap Value
2014,12.47%,Large-Cap Value
2013,19.46%,Large-Cap Value
2012,11.51%,Large-Cap Value
2011,3.57%,Large-Cap Value
2010,13.29%,Large-Cap Value
2009,12.23%,Large-Cap Value
2008,-20.05%,Large-Cap Value
2007,1.79%,Large-Cap Value
2006,19.45%,Large-Cap Value
2005,2.46%,Large-Cap Value
2004,12.53%,Large-Cap Value
2003,24.25%,Large-Cap Value
2002,-5.00%,Large-Cap Value
2001,11.33%,Large-Cap Value
2000,21.91%,Large-Cap Value
1999,-0.18%,Large-Cap Value
1998,12.97%,Large-Cap Value
1997,28.26%,Large-Cap Value
1996,23.31%,Large-Cap Value
1995,29.62%,Large-Cap Value
1994,N/A,Large-Cap Value
