Year,,Large-Cap Value
2018,-5.49%,Large-Cap Value
2017,16.63%,Large-Cap Value
2016,14.10%,Large-Cap Value
2015,-3.26%,Large-Cap Value
2014,11.85%,Large-Cap Value
2013,31.01%,Large-Cap Value
2012,12.70%,Large-Cap Value
2011,3.78%,Large-Cap Value
2010,13.03%,Large-Cap Value
2009,16.56%,Large-Cap Value
2008,-35.62%,Large-Cap Value
2007,-3.31%,Large-Cap Value
2006,19.00%,Large-Cap Value
2005,5.83%,Large-Cap Value
2004,12.02%,Large-Cap Value
2003,25.76%,Large-Cap Value
2002,-19.00%,Large-Cap Value
2001,-4.18%,Large-Cap Value
2000,10.83%,Large-Cap Value
1999,2.46%,Large-Cap Value
1998,8.10%,Large-Cap Value
1997,26.99%,Large-Cap Value
1996,18.70%,Large-Cap Value
1995,28.62%,Large-Cap Value
1994,-0.70%,Large-Cap Value
1993,11.56%,Large-Cap Value
1992,7.80%,Large-Cap Value
1991,27.33%,Large-Cap Value
1990,-1.42%,Large-Cap Value
1989,27.14%,Large-Cap Value
1988,19.43%,Large-Cap Value
1987,N/A,Large-Cap Value
