Year,,Large-Cap Value
2018,-5.72%,Large-Cap Value
2017,18.38%,Large-Cap Value
2016,14.70%,Large-Cap Value
2015,0.77%,Large-Cap Value
2014,11.29%,Large-Cap Value
2013,30.07%,Large-Cap Value
2012,13.49%,Large-Cap Value
2011,10.60%,Large-Cap Value
2010,14.88%,Large-Cap Value
2009,17.10%,Large-Cap Value
2008,-30.95%,Large-Cap Value
2007,4.86%,Large-Cap Value
2006,20.62%,Large-Cap Value
2005,4.37%,Large-Cap Value
2004,13.57%,Large-Cap Value
2003,25.14%,Large-Cap Value
2002,-15.65%,Large-Cap Value
2001,-2.34%,Large-Cap Value
2000,13.57%,Large-Cap Value
1999,-0.19%,Large-Cap Value
1998,17.34%,Large-Cap Value
1997,31.17%,Large-Cap Value
1996,17.39%,Large-Cap Value
1995,37.34%,Large-Cap Value
1994,-1.59%,Large-Cap Value
1993,14.65%,Large-Cap Value
1992,9.18%,Large-Cap Value
1991,25.38%,Large-Cap Value
1990,-11.92%,Large-Cap Value
1989,26.50%,Large-Cap Value
1988,N/A,Large-Cap Value
