Year,,Large-Cap Blend
2018,-4.43%,Large-Cap Blend
2017,21.79%,Large-Cap Blend
2016,11.93%,Large-Cap Blend
2015,1.36%,Large-Cap Blend
2014,13.64%,Large-Cap Blend
2013,32.33%,Large-Cap Blend
2012,15.96%,Large-Cap Blend
2011,2.08%,Large-Cap Blend
2010,15.05%,Large-Cap Blend
2009,26.62%,Large-Cap Blend
2008,-36.97%,Large-Cap Blend
2007,5.47%,Large-Cap Blend
2006,15.75%,Large-Cap Blend
2005,4.87%,Large-Cap Blend
2004,10.82%,Large-Cap Blend
2003,28.59%,Large-Cap Blend
2002,-22.10%,Large-Cap Blend
2001,-11.98%,Large-Cap Blend
