Year,,Large-Cap Growth
2018,-3.34%,Large-Cap Growth
2017,27.80%,Large-Cap Growth
2016,6.12%,Large-Cap Growth
2015,3.30%,Large-Cap Growth
2014,13.63%,Large-Cap Growth
2013,32.40%,Large-Cap Growth
2012,17.01%,Large-Cap Growth
2011,1.87%,Large-Cap Growth
2010,17.12%,Large-Cap Growth
2009,36.42%,Large-Cap Growth
2008,-38.22%,Large-Cap Growth
2007,12.70%,Large-Cap Growth
2006,9.13%,Large-Cap Growth
2005,5.21%,Large-Cap Growth
2004,7.31%,Large-Cap Growth
2003,26.03%,Large-Cap Growth
2002,-23.62%,Large-Cap Growth
2001,-12.88%,Large-Cap Growth
