Year,,Large-Cap Growth
2018,-1.65%,Large-Cap Growth
2017,29.85%,Large-Cap Growth
2016,3.28%,Large-Cap Growth
2015,6.75%,Large-Cap Growth
2014,10.95%,Large-Cap Growth
2013,34.76%,Large-Cap Growth
2012,15.09%,Large-Cap Growth
2011,-2.56%,Large-Cap Growth
2010,18.70%,Large-Cap Growth
2009,36.10%,Large-Cap Growth
2008,-41.43%,Large-Cap Growth
2007,11.22%,Large-Cap Growth
2006,11.09%,Large-Cap Growth
2005,9.09%,Large-Cap Growth
2004,10.47%,Large-Cap Growth
2003,33.73%,Large-Cap Growth
2002,-23.52%,Large-Cap Growth
2001,-13.60%,Large-Cap Growth
2000,-12.51%,Large-Cap Growth
1999,34.10%,Large-Cap Growth
1998,22.26%,Large-Cap Growth
1997,30.81%,Large-Cap Growth
1996,23.30%,Large-Cap Growth
1995,35.98%,Large-Cap Growth
1994,-1.67%,Large-Cap Growth
1993,7.32%,Large-Cap Growth
1992,9.54%,Large-Cap Growth
1991,29.33%,Large-Cap Growth
1990,-1.51%,Large-Cap Growth
1989,22.66%,Large-Cap Growth
1988,22.34%,Large-Cap Growth
1987,5.02%,Large-Cap Growth
1986,7.83%,Large-Cap Growth
1985,30.29%,Large-Cap Growth
1984,-6.06%,Large-Cap Growth
1983,28.37%,Large-Cap Growth
1982,27.67%,Large-Cap Growth
1981,-4.80%,Large-Cap Growth
1980,34.72%,Large-Cap Growth
1979,18.89%,Large-Cap Growth
1978,19.24%,Large-Cap Growth
1977,7.49%,Large-Cap Growth
1976,19.08%,Large-Cap Growth
1975,43.10%,Large-Cap Growth
1974,-32.22%,Large-Cap Growth
1973,-19.19%,Large-Cap Growth
1972,21.77%,Large-Cap Growth
1971,28.18%,Large-Cap Growth
1970,-5.15%,Large-Cap Growth
1969,3.30%,Large-Cap Growth
