Year,,Large-Cap Blend
2018,-4.71%,Large-Cap Blend
2017,20.68%,Large-Cap Blend
2016,11.97%,Large-Cap Blend
2015,1.92%,Large-Cap Blend
2014,14.04%,Large-Cap Blend
2013,32.59%,Large-Cap Blend
2012,16.92%,Large-Cap Blend
2011,2.42%,Large-Cap Blend
2010,14.62%,Large-Cap Blend
2009,22.42%,Large-Cap Blend
2008,-37.72%,Large-Cap Blend
2007,2.62%,Large-Cap Blend
2006,14.01%,Large-Cap Blend
2005,5.82%,Large-Cap Blend
2004,11.11%,Large-Cap Blend
2003,30.15%,Large-Cap Blend
2002,-21.92%,Large-Cap Blend
2001,-11.13%,Large-Cap Blend
2000,-8.97%,Large-Cap Blend
1999,26.04%,Large-Cap Blend
1998,23.94%,Large-Cap Blend
1997,35.59%,Large-Cap Blend
1996,23.06%,Large-Cap Blend
1995,35.93%,Large-Cap Blend
1994,-0.61%,Large-Cap Blend
1993,13.83%,Large-Cap Blend
1992,7.01%,Large-Cap Blend
1991,30.29%,Large-Cap Blend
1990,-2.44%,Large-Cap Blend
1989,32.00%,Large-Cap Blend
1988,16.80%,Large-Cap Blend
1987,4.02%,Large-Cap Blend
