Year,,Large-Cap Value
2018,-10.33%,Large-Cap Value
2017,12.97%,Large-Cap Value
2016,16.36%,Large-Cap Value
2015,-1.65%,Large-Cap Value
2014,14.68%,Large-Cap Value
2013,33.98%,Large-Cap Value
2012,19.12%,Large-Cap Value
2011,3.23%,Large-Cap Value
2010,13.82%,Large-Cap Value
2009,15.29%,Large-Cap Value
2008,-34.79%,Large-Cap Value
2007,-0.74%,Large-Cap Value
2006,14.10%,Large-Cap Value
2005,6.37%,Large-Cap Value
2004,13.70%,Large-Cap Value
2003,30.26%,Large-Cap Value
2002,-15.27%,Large-Cap Value
2001,2.94%,Large-Cap Value
2000,N/A,Large-Cap Value
