Year,,Large-Cap Value
2018,-5.43%,Large-Cap Value
2017,17.13%,Large-Cap Value
2016,16.86%,Large-Cap Value
2015,-0.86%,Large-Cap Value
2014,13.18%,Large-Cap Value
2013,33.05%,Large-Cap Value
2012,15.18%,Large-Cap Value
2011,1.14%,Large-Cap Value
2010,14.45%,Large-Cap Value
2009,19.72%,Large-Cap Value
2008,-35.90%,Large-Cap Value
2007,0.18%,Large-Cap Value
2006,22.27%,Large-Cap Value
2005,7.20%,Large-Cap Value
2004,15.40%,Large-Cap Value
2003,32.36%,Large-Cap Value
2002,-20.85%,Large-Cap Value
2001,-11.83%,Large-Cap Value
