Year,,Large-Cap Value
2018,-12.46%,Large-Cap Value
2017,19.10%,Large-Cap Value
2016,12.49%,Large-Cap Value
2015,-3.32%,Large-Cap Value
2014,11.82%,Large-Cap Value
2013,36.08%,Large-Cap Value
2012,20.78%,Large-Cap Value
2011,-4.00%,Large-Cap Value
2010,14.82%,Large-Cap Value
2009,34.69%,Large-Cap Value
2008,-41.10%,Large-Cap Value
2007,-3.30%,Large-Cap Value
2006,19.35%,Large-Cap Value
2005,4.99%,Large-Cap Value
2004,13.38%,Large-Cap Value
2003,37.01%,Large-Cap Value
2002,-22.25%,Large-Cap Value
2001,5.72%,Large-Cap Value
2000,15.89%,Large-Cap Value
1999,11.57%,Large-Cap Value
1998,0.81%,Large-Cap Value
1997,21.97%,Large-Cap Value
1996,26.36%,Large-Cap Value
1995,30.15%,Large-Cap Value
1994,-0.15%,Large-Cap Value
1993,19.37%,Large-Cap Value
1992,16.50%,Large-Cap Value
1991,28.55%,Large-Cap Value
1990,-15.50%,Large-Cap Value
1989,15.02%,Large-Cap Value
1988,28.70%,Large-Cap Value
1987,1.23%,Large-Cap Value
1986,20.27%,Large-Cap Value
1985,28.03%,Large-Cap Value
1984,19.47%,Large-Cap Value
1983,30.06%,Large-Cap Value
1982,21.72%,Large-Cap Value
1981,16.76%,Large-Cap Value
1980,22.62%,Large-Cap Value
1979,22.55%,Large-Cap Value
1978,8.77%,Large-Cap Value
1977,0.98%,Large-Cap Value
1976,46.41%,Large-Cap Value
1975,54.49%,Large-Cap Value
1974,-16.80%,Large-Cap Value
1973,-25.02%,Large-Cap Value
1972,10.21%,Large-Cap Value
1971,7.36%,Large-Cap Value
1970,7.52%,Large-Cap Value
1969,-4.82%,Large-Cap Value
1968,22.29%,Large-Cap Value
1967,30.51%,Large-Cap Value
1966,-3.57%,Large-Cap Value
1965,29.25%,Large-Cap Value
1964,14.12%,Large-Cap Value
1963,12.30%,Large-Cap Value
1962,-25.51%,Large-Cap Value
1961,30.15%,Large-Cap Value
1960,11.75%,Large-Cap Value
1959,15.89%,Large-Cap Value
