Year,,Large-Cap Growth
2018,0.62%,Large-Cap Growth
2017,31.60%,Large-Cap Growth
2016,-0.75%,Large-Cap Growth
2015,8.47%,Large-Cap Growth
2014,13.06%,Large-Cap Growth
2013,35.49%,Large-Cap Growth
2012,18.43%,Large-Cap Growth
2011,-0.68%,Large-Cap Growth
2010,11.53%,Large-Cap Growth
2009,34.95%,Large-Cap Growth
2008,-37.82%,Large-Cap Growth
2007,10.15%,Large-Cap Growth
2006,1.77%,Large-Cap Growth
2005,11.15%,Large-Cap Growth
2004,7.03%,Large-Cap Growth
2003,26.10%,Large-Cap Growth
2002,-35.80%,Large-Cap Growth
2001,-31.70%,Large-Cap Growth
2000,-20.17%,Large-Cap Growth
1999,22.28%,Large-Cap Growth
1998,39.98%,Large-Cap Growth
1997,25.93%,Large-Cap Growth
1996,26.05%,Large-Cap Growth
1995,38.44%,Large-Cap Growth
1994,3.88%,Large-Cap Growth
1993,-1.45%,Large-Cap Growth
1992,2.76%,Large-Cap Growth
1991,46.76%,Large-Cap Growth
1990,4.60%,Large-Cap Growth
1989,37.70%,Large-Cap Growth
1988,8.76%,Large-Cap Growth
1987,-6.07%,Large-Cap Growth
1986,7.84%,Large-Cap Growth
1985,36.55%,Large-Cap Growth
1984,1.21%,Large-Cap Growth
1983,23.86%,Large-Cap Growth
1982,19.80%,Large-Cap Growth
1981,-0.56%,Large-Cap Growth
1980,33.66%,Large-Cap Growth
1979,17.92%,Large-Cap Growth
1978,16.18%,Large-Cap Growth
1977,1.30%,Large-Cap Growth
1976,14.50%,Large-Cap Growth
1975,30.68%,Large-Cap Growth
1974,-33.29%,Large-Cap Growth
1973,-32.40%,Large-Cap Growth
1972,45.59%,Large-Cap Growth
1971,21.54%,Large-Cap Growth
1970,-4.43%,Large-Cap Growth
1969,-29.30%,Large-Cap Growth
1968,27.47%,Large-Cap Growth
1967,47.32%,Large-Cap Growth
1966,-24.81%,Large-Cap Growth
1965,41.63%,Large-Cap Growth
1964,20.22%,Large-Cap Growth
1963,59.02%,Large-Cap Growth
1962,-15.67%,Large-Cap Growth
1961,36.99%,Large-Cap Growth
1960,21.67%,Large-Cap Growth
1959,N/A,Large-Cap Growth
